axiom	refc	conf	expt	poss	nec	time
"SubClassOf(dbo:Chancellor dbo:Agent)"	86	86	0	1.0	1.0	32
"SubClassOf(dbo:Chancellor dbo:Person)"	86	86	0	1.0	1.0	40
"SubClassOf(dbo:Chancellor dbo:Politician)"	86	86	0	1.0	1.0	42
"SubClassOf(dbo:Chancellor schema:Person)"	86	86	0	1.0	1.0	30
"SubClassOf(dbo:Chancellor owl:Thing)"	86	86	0	1.0	1.0	48
"SubClassOf(dbo:Chancellor foaf:Person)"	86	86	0	1.0	1.0	28
"SubClassOf(dbo:SportCompetitionResult dbo:OlympicResult)"	750	750	0	1.0	1.0	115
"SubClassOf(dbo:SportCompetitionResult owl:Thing)"	750	750	0	1.0	1.0	196
"SubClassOf(dbo:Library dbo:Agent)"	708	708	0	1.0	1.0	3524
"SubClassOf(dbo:Library dbo:ArchitecturalStructure)"	708	708	0	1.0	1.0	1051
"SubClassOf(dbo:Library dbo:Building)"	708	708	0	1.0	1.0	851
"SubClassOf(dbo:Library dbo:EducationalInstitution)"	708	708	0	1.0	1.0	908
"SubClassOf(dbo:Library dbo:Organisation)"	708	708	0	1.0	1.0	2663
"SubClassOf(dbo:Library dbo:Place)"	708	708	0	1.0	1.0	4356
"SubClassOf(dbo:Library schema:EducationalOrganization)"	708	708	0	1.0	1.0	820
"SubClassOf(dbo:Library schema:Library)"	708	708	0	1.0	1.0	457
"SubClassOf(dbo:Library schema:Organization)"	708	708	0	1.0	1.0	2457
"SubClassOf(dbo:Library schema:Place)"	708	708	0	1.0	1.0	4361
"SubClassOf(dbo:Library gml:_Feature)"	708	441	0	1.0	0.9261649573895929	559
"SubClassOf(dbo:Library owl:Thing)"	708	708	0	1.0	1.0	666
"SubClassOf(dbo:Library skos:Concept)"	708	3	0	1.0	0.09195989158563839	801
"SubClassOf(schema:School dbo:Agent)"	29001	29000	0	1.0	0.9999999994055107	13315
"SubClassOf(schema:School dbo:Country)"	29001	1	29000	5.944893466391932E-10	0.0	2273267
"SubClassOf(schema:School dbo:EducationalInstitution)"	29001	29000	1	0.9916956667803228	0.0	37102
"SubClassOf(schema:School dbo:Organisation)"	29001	29000	1	0.9916956667803228	0.0	37994
"SubClassOf(schema:School dbo:Place)"	29001	1	0	1.0	0.008304333219677182	168195
"SubClassOf(schema:School dbo:PopulatedPlace)"	29001	1	0	1.0	0.008304333219677182	7534444
"SubClassOf(schema:School dbo:School)"	29001	29001	0	1.0	1.0	15473
"SubClassOf(schema:School schema:Country)"	29001	1	29000	5.944893466391932E-10	0.0	2280190
"SubClassOf(schema:School schema:EducationalOrganization)"	29001	29000	1	0.9916956667803228	0.0	31972
"SubClassOf(schema:School schema:Organization)"	29001	29000	1	0.9916956667803228	0.0	26998
"SubClassOf(schema:School schema:Place)"	29001	1	0	1.0	0.008304333219677182	168638
"SubClassOf(schema:School gml:_Feature)"	29001	19283	0	1.0	0.9421854504231134	16250
"SubClassOf(schema:School owl:Thing)"	29001	29001	0	1.0	1.0	18481
"SubClassOf(schema:School skos:Concept)"	29001	188	0	1.0	0.11367957999951407	21510
"SubClassOf(schema:School foaf:Person)"	29001	6	0	1.0	0.020340502254897024	359507
"SubClassOf(dbo:BeautyQueen dbo:Agent)"	1852	1852	0	1.0	1.0	471
"SubClassOf(dbo:BeautyQueen dbo:Person)"	1852	1852	0	1.0	1.0	620
"SubClassOf(dbo:BeautyQueen schema:Person)"	1852	1852	0	1.0	1.0	418
"SubClassOf(dbo:BeautyQueen owl:Thing)"	1852	1852	0	1.0	1.0	743
"SubClassOf(dbo:BeautyQueen foaf:Person)"	1852	1852	0	1.0	1.0	376
"SubClassOf(dbo:InformationAppliance dbo:Agent)"	1466	2	0	1.0	0.0522173511841876	3335
"SubClassOf(dbo:InformationAppliance dbo:Animal)"	1466	1	2	0.9477826488158124	0.0	2129
"SubClassOf(dbo:InformationAppliance dbo:Country)"	1466	1	1	0.9630704565248583	0.0	45043
"SubClassOf(dbo:InformationAppliance dbo:Device)"	1466	1465	0	1.0	0.999999767350505	355
"SubClassOf(dbo:InformationAppliance dbo:Eukaryote)"	1466	1	5	0.9174793969502615	0.0	2422
"SubClassOf(dbo:InformationAppliance dbo:Genre)"	1466	4	2	0.9477826488158124	0.0	1006
"SubClassOf(dbo:InformationAppliance dbo:MusicGenre)"	1466	4	2	0.9477826488158124	0.0	971
"SubClassOf(dbo:InformationAppliance dbo:Person)"	1466	2	1	0.9630704565248583	0.0	7362
"SubClassOf(dbo:InformationAppliance dbo:Place)"	1466	1	0	1.0	0.0369295434751417	33695
"SubClassOf(dbo:InformationAppliance dbo:PopulatedPlace)"	1466	1	0	1.0	0.0369295434751417	33484
"SubClassOf(dbo:InformationAppliance dbo:SoccerClub)"	1466	1	7	0.9023936697049509	0.0	48463
"SubClassOf(dbo:InformationAppliance dbo:Species)"	1466	1	5	0.9174793969502615	0.0	2295
"SubClassOf(dbo:InformationAppliance dbo:SportsTeam)"	1466	1	7	0.9023936697049509	0.0	48293
"SubClassOf(dbo:InformationAppliance dbo:TopicalConcept)"	1466	4	2	0.9477826488158124	0.0	1068
"SubClassOf(dbo:InformationAppliance schema:Country)"	1466	1	1	0.9630704565248583	0.0	45127
"SubClassOf(dbo:InformationAppliance schema:Person)"	1466	2	1	0.9630704565248583	0.0	7270
"SubClassOf(dbo:InformationAppliance schema:Place)"	1466	1	0	1.0	0.0369295434751417	33656
"SubClassOf(dbo:InformationAppliance schema:SportsTeam)"	1466	1	7	0.9023936697049509	0.0	48365
"SubClassOf(dbo:InformationAppliance owl:Thing)"	1466	1466	0	1.0	1.0	331
"SubClassOf(dbo:InformationAppliance skos:Concept)"	1466	37	0	1.0	0.22324984999940065	320
"SubClassOf(dbo:InformationAppliance foaf:Person)"	1466	2	0	1.0	0.0522173511841876	3273
"SubClassOf(dbo:TennisLeague dbo:Agent)"	7	7	0	1.0	1.0	6
"SubClassOf(dbo:TennisLeague dbo:Organisation)"	7	7	0	1.0	1.0	7
"SubClassOf(dbo:TennisLeague dbo:SportsLeague)"	7	7	0	1.0	1.0	8
"SubClassOf(dbo:TennisLeague schema:Organization)"	7	7	0	1.0	1.0	6
"SubClassOf(dbo:TennisLeague owl:Thing)"	7	7	0	1.0	1.0	7
"SubClassOf(dbo:TennisLeague skos:Concept)"	7	2	0	1.0	0.6998542122237652	7
"SubClassOf(dbo:OrganisationMember dbo:Agent)"	253901	253901	0	1.0	1.0	69788
"SubClassOf(dbo:OrganisationMember dbo:Person)"	253901	253901	0	1.0	1.0	94171
"SubClassOf(dbo:OrganisationMember dbo:SportsTeamMember)"	253901	253901	0	1.0	1.0	63646
"SubClassOf(dbo:OrganisationMember schema:Person)"	253901	253901	0	1.0	1.0	62140
"SubClassOf(dbo:OrganisationMember gml:_Feature)"	253901	2	0	1.0	0.003969144725657729	161913
"SubClassOf(dbo:OrganisationMember owl:Thing)"	253901	253901	0	1.0	1.0	115850
"SubClassOf(dbo:OrganisationMember skos:Concept)"	253901	4	0	1.0	0.00561320724804262	177121
"SubClassOf(dbo:OrganisationMember foaf:Person)"	253901	253901	0	1.0	1.0	56618
"SubClassOf(dbo:Engineer dbo:Agent)"	731	731	0	1.0	1.0	180
"SubClassOf(dbo:Engineer dbo:Person)"	731	731	0	1.0	1.0	240
"SubClassOf(dbo:Engineer schema:Person)"	731	731	0	1.0	1.0	164
"SubClassOf(dbo:Engineer gml:_Feature)"	731	1	0	1.0	0.05228868633000431	497
"SubClassOf(dbo:Engineer owl:Thing)"	731	731	0	1.0	1.0	305
"SubClassOf(dbo:Engineer skos:Concept)"	731	7	0	1.0	0.13805849657447553	486
"SubClassOf(dbo:Engineer foaf:Person)"	731	731	0	1.0	1.0	151
"SubClassOf(dbo:RadioHost dbo:Agent)"	314	314	0	1.0	1.0	83
"SubClassOf(dbo:RadioHost dbo:Person)"	314	314	0	1.0	1.0	115
"SubClassOf(dbo:RadioHost dbo:Presenter)"	314	314	0	1.0	1.0	124
