axiom,label
DisjointClasses(<http://dbpedia.org/ontology/Dancer> <http://dbpedia.org/ontology/Person>),0.125646123
DisjointClasses(<http://dbpedia.org/ontology/AcademicJournal> <http://dbpedia.org/ontology/Book>),0.990724791
DisjointClasses(<http://dbpedia.org/ontology/Sculpture> <http://dbpedia.org/ontology/Artwork>),0.588685015
DisjointClasses(<http://dbpedia.org/ontology/Historian> <http://dbpedia.org/ontology/Agent>),0.181720923
DisjointClasses(<http://dbpedia.org/ontology/Theatre> <http://dbpedia.org/ontology/ArchitecturalStructure>),0.76339609
DisjointClasses(<http://dbpedia.org/ontology/ComicStrip> <http://dbpedia.org/ontology/Work>),0.633724521
DisjointClasses(<http://dbpedia.org/ontology/OlympicResult> <http://dbpedia.org/ontology/SportCompetitionResult>),0
DisjointClasses(<http://dbpedia.org/ontology/Skier> <http://dbpedia.org/ontology/Name>),1
DisjointClasses(<http://dbpedia.org/ontology/Building> <http://dbpedia.org/ontology/Person>),0.994558839
DisjointClasses(<http://dbpedia.org/ontology/BritishRoyalty> <http://dbpedia.org/ontology/Genre>),1
DisjointClasses(<http://dbpedia.org/ontology/Lawyer> <http://dbpedia.org/ontology/TelevisionEpisode>),1
DisjointClasses(<http://dbpedia.org/ontology/Vicar> <http://dbpedia.org/ontology/Cleric>),0.9
DisjointClasses(<http://dbpedia.org/ontology/NationalCollegiateAthleticAssociationAthlete> <http://dbpedia.org/ontology/Athlete>),0
DisjointClasses(<http://dbpedia.org/ontology/LacrossePlayer> <http://dbpedia.org/ontology/Surfer>),1
DisjointClasses(<http://dbpedia.org/ontology/SubMunicipality> <http://dbpedia.org/ontology/Casino>),1
DisjointClasses(<http://dbpedia.org/ontology/RailwayStation> <http://dbpedia.org/ontology/Philosopher>),1
DisjointClasses(<http://dbpedia.org/ontology/SpaceShuttle> <http://dbpedia.org/ontology/Theatre>),1
DisjointClasses(<http://dbpedia.org/ontology/Castle> <http://dbpedia.org/ontology/TelevisionSeason>),1
DisjointClasses(<http://dbpedia.org/ontology/FictionalCharacter> <http://dbpedia.org/ontology/Airline>),1
DisjointClasses(<http://dbpedia.org/ontology/Cycad> <http://dbpedia.org/ontology/Beer>),1
DisjointClasses(<http://dbpedia.org/ontology/Work> <http://www.w3.org/2002/07/owl#Thing>),0.311129623
